blaze (slowed),kyori,265,C:\Users\cofff\Desktop\songs\kyori - blaze (slowed).mp3
blaze,kyori,184,C:\Users\cofff\Desktop\songs\kyori - blaze.mp3
just a dream (sped up),kyori,192,C:\Users\cofff\Desktop\songs\kyori - just a dream (sped up).mp3
